###############################################################################
# Information about Dragon 64 ROM - 32K mode
#
# Collected from:
#     http://archive.worldofdragon.org/phpBB3/viewtopic.php?f=5&t=4370&start=10#p11378
# AUTHOR: Stewart Orchard alias sorchard
#
# copyleft: 2014 by the 6809 team, see AUTHORS for more details.
# license: GNU GPL v3 or above, see LICENSE for more details.
#
###############################################################################

$8000-$8012 ; * standard JMP vectors
$9a49       ; read keys (carry clear if control key)
$9a52       ; output character to DEVN
$9a55       ; change another

$9a58-$9a76 ; * EDIT: typed characters in insert mode
$9a5e       ; line full
$9a62       ; create a space for character
$9a72       ; output character to DEVN

$9a78-$9a81 ; * EDIT: backspace over a number of characters
$9a7f       ; backspace again

$9a82-$9a8b ; * EDIT: backspace
$9a85       ; RTS
$9a8b       ; output character to DEVN

$9a8e-$9a96 ; * EDIT: test for search functions
$9a8e       ; (K = wipe chrs until nth occurrence of chr)
$9a92       ; (S = search for nth occurrence of chr)

$9a97-$9ab7 ; * EDIT: search functions
$9a99       ; read keys (carry clear if control key)
$9a9f       ; PULS Y,PC
$9aa3       ; Kill (not Search)
$9aa5       ; output character to DEVN
$9aab       ; close line up over removed character
$9ab2       ; not found
$9ab5       ; find next occurrence

$9ab9-$9ad8 ; * read keys (carry clear if control key)
$9ab9       ; read character from DEVN & strip MSB
$9abe       ; pointless test!
$9ac2       ; not shift + CU
$9ac8       ; return
$9acc       ; escape
$9ad0       ; backspace
$9ad4       ; illegal

$9ad9       ; * TRON

$9adb-$9add ; * TROFF
$9adb-$9add ; * (9ADA 4F         CLRA)

$9ade-$9af1 ; * POS
$9ade       ; DEVN
$9ae2       ; load DEVN from FPA1
$9ae5       ; if DEVN = -1, test cassette OK for output
$9ae8       ; initialise virtual DEVN device
$9aeb       ; device current column
$9aef       ; DEVN
$9af1       ; assign B to FPA1

$9af4-$9b09 ; * VARPTR
$9af4       ; skip open bracket
$9af7       ; end of BASIC storage
$9afb       ; get varptr of variable in X
$9afe       ; skip close bracket
$9b05       ; not allowed to create new variable
$9b07       ; ?FC ERROR
$9b09       ; assign D to FPA1

$9b0c-$9b7c ; * MID$ on LHS
$9b0c       ; get next character from BASIC source
$9b0e       ; skip open bracket
$9b11       ; get varptr of variable in X
$9b18       ; stack root / string storage start
$9b1d       ; top of BASIC RAM
$9b23       ; reserve B bytes of string space
$9b2a       ; copy string (len B) from varptr X to ($25)+
$9b39       ; ?FC ERROR
$9b46       ; skip close bracket
$9b4b       ; skip character in B
$9b4e       ; get string expression & point X to it
$9b5a       ; ?FC ERROR
$9b79       ; copy B bytes from X to U

$9b7e-$9b81 ; * get string expression & point X to it (B=len)
$9b7e       ; get expression
$9b81       ; validate string & point X to it (B=len)

$9b84-$9bb1 ; * STRING$
$9b84       ; skip open bracket
$9b87       ; get number into B
$9b8c       ; skip comma
$9b8f       ; get expression
$9b92       ; skip close bracket
$9b95       ; numeric / string flag
$9b99       ; read 8 bit value into B from FPA1
$9b9e       ; get 1st character of string into B
$9ba3       ; number of copies
$9ba5       ; reserve B bytes of string space

$9bb4-$9c0e ; * INSTR
$9bb4       ; skip open bracket
$9bb7       ; get expression
$9bba       ; default start position
$9bbe       ; numeric / string flag
$9bc0       ; start pos not specified
$9bc2       ; read 8 bit value into B from FPA1
$9bc7       ; ?FC ERROR
$9bc9       ; skip comma
$9bcc       ; get expression
$9bcf       ; validate string expression
$9bd6       ; skip comma
$9bd9       ; get string expression & point X to it
$9bde       ; skip close bracket
$9be1       ; varptr of main string
$9be3       ; point X to string & length in B
$9bea       ; main string is shorter than start pos
$9bec       ; target string length
$9bf0       ; start pos
$9bf4       ; Y = X = position to start search
$9bf6       ; U -> target characters
$9bf8       ; B = target length
$9bfa       ; A = main string length
$9bfe       ; A = A - start pos + 1
$9c01       ; remaining length is shorter than target
$9c07       ; didn't match
$9c0a       ; test next character in target
$9c0c       ; found it

$9c10-$9c19 ; * (9C0F 5F         CLRB)
$9c12       ; assign B to FPA1
$9c17       ; advance start pos & try again

$9c1b-$9c3c ; * read octal or hex number from command into $52 / $53
$9c22       ; get next character from BASIC source
$9c2c       ; get current character from BASIC source
$9c32       ; ?SN ERROR
$9c38       ; shift word at ,X left B bits
$9c3a       ; get next character from BASIC source

$9c3e-$9c4c ; * assign contents of $52 / $53 to FPA1
$9c42       ; numeric / string flag
$9c4c       ; normalize FPA1

$9c4f-$9c62 ; * read hex digits from command into ,X
$9c4f       ; get next character from BASIC source
$9c53       ; carry clear if A-Z
$9c56       ; assign contents of $52 / $53 to FPA1
$9c5a       ; assign contents of $52 / $53 to FPA1
$9c60       ; shift word at ,X left B bits

$9c64-$9c75 ; * shift word at ,X left B bits
$9c68       ; ?OV ERROR

$9c76-$9c7e ; * cause error if in command mode
$9c76       ; current line number
$9c7a       ; not in command mode
$9c7c       ; ?ID ERROR
$9c7e       ; cause error

$9c81-$9cff ; * DEF
$9c85       ; DEF USR
$9c8e       ; test for command mode
$9c90       ; skip open bracket
$9c95       ; array illegal flag
$9c97       ; get varptr of variable in X
$9c9c       ; skip close bracket
$9ca1       ; skip character in B
$9ca6       ; BASIC source pointer
$9cae       ; skip to start of next statement
$9cb1       ; token FN
$9cb3       ; skip character in B
$9cb8       ; array illegal flag
$9cc1       ; validate numeric expression
$9cc8       ; get expression inside brackets
$9ccf       ; ?UF ERROR
$9cd3       ; cause error
$9cd5       ; BASIC source pointer
$9cda       ; BASIC source pointer
$9ce6       ; assign FPA1 to varptr in X
$9ce9       ; read numeric expression into FPA1
$9cf6       ; get current character from BASIC source
$9cf8       ; ?SN ERROR
$9cfc       ; BASIC source pointer

$9d00-$9d0c ; * DEF USRx = address
$9d00       ; get next character from BASIC source
$9d02       ; get next character from BASIC source

$9d0d-$9d1c ; * called by USR: converts following digit into USR table pointer
$9d0e       ; get current character from BASIC source
$9d16       ; get next character from BASIC source
$9d18       ; address of USR table

$9d1d-$9d34 ; * USRx
$9d23       ; get expression inside brackets
$9d26       ; FPA1
$9d29       ; numeric / string flag
$9d2d       ; point X to string just compiled & len in B
$9d32       ; numeric / string flag

$9d35-$9d3a ; * skips = sign & reads 16 bit number into X
$9d35       ; token =
$9d37       ; skip character in B
$9d3a       ; read 16 bit number into X

$9d3d-$9d4e ; * IRQ service routine
$9d40       ; vsync
$9d46       ; TIMER value
$9d4e       ; ...continued

$9d51-$9d58 ; * TIMER on LHS
$9d51       ; get next character from BASIC source
$9d55       ; TIMER value

$9d59-$9d5e ; * TIMER
$9d59       ; TIMER value
$9d5e       ; assign contents of $52 / $53 to FPA1

$9d61-$9d83 ; * DEL
$9d61       ; ?FC ERROR
$9d65       ; read line number & store in $2b
$9d68       ; search program for line number in <$2b
$9d6d       ; get current character from BASIC source
$9d71       ; token -
$9d75       ; get next character from BASIC source

$9d86-$9db0 ; * (9D84 EEC4       LDU   ,U)
$9d92       ; move program down from U to X
$9d94       ; clear variables and reset stack & cmd ptr
$9d99       ; set up next line pointers from X onwards
$9d9c       ; command mode
$9d9f       ; read line number & store in $2b
$9da2       ; cause error if next byte is not zero
$9da9       ; start of simple variables
$9dae       ; start of simple variables

$9db1-$9dea ; * LINE INPUT
$9db1       ; test for command mode
$9db4       ; get next character from BASIC source
$9dba       ; read #-n & set up DEVN
$9dbd       ; test cassette status OK for input
$9dc0       ; skip comma
$9dc5       ; no prompt
$9dc7       ; read literal string
$9dcc       ; skip character in B
$9dcf       ; print string just compiled
$9dd9       ; DEVN
$9ddb       ; get varptr of variable in X
$9de0       ; validate string expression
$9de7       ; compile literal string at X
$9dea       ; assign string variable

$9ded-$9df2 ; * read line number into X & $2b
$9ded       ; read line number & store in $2b

$9df3-$9df7 ; * RENUM: search for start line
$9df7       ; search program for line number in <$2b

$9dfa-$9e55 ; * RENUM
$9dfa       ; clear variables & reset stack
$9e00       ; default RENUM 10,0,10
$9e07       ; get current character from BASIC source
$9e0b       ; read line number into X & $2b
$9e0d       ; new start line
$9e0f       ; get current character from BASIC source
$9e13       ; skip comma
$9e18       ; read line number into X & $2b
$9e1a       ; line to start renumbering at
$9e1c       ; get current character from BASIC source
$9e20       ; skip comma
$9e25       ; read line number into X & $2b
$9e27       ; line increment
$9e29       ; ?FC ERROR
$9e2b       ; cause error if next byte is not zero
$9e2e       ; search for start line
$9e30       ; save address
$9e34       ; search for new start line
$9e36       ; not allowed to be lower than start line
$9e38       ; ?FC ERROR
$9e3a       ; dry run - check lines don't get too high
$9e3c       ; prepare line numbers in statements
$9e3f       ; set up next line pointers in BASIC program
$9e42       ; search for start line
$9e44       ; save address
$9e46       ; convert line numbers to addresses
$9e48       ; do the actual renumbering
$9e4a       ; convert addresses to line numbers
$9e4c       ; convert line numbers back to ASCII
$9e4f       ; clear variables & reset stack
$9e52       ; set up next line pointers in BASIC program
$9e55       ; command mode

$9e58       ; * RENUM: dry run to check that line numbers don't get too high

$9e5a-$9e74 ; * RENUM: renumber!
$9e5a-$9e74 ; * (9E59 4F         CLRA)
$9e5c       ; start address
$9e5e       ; new start number
$9e60       ; test for end of program
$9e62       ; dry run flag
$9e66       ; store new line number
$9e68       ; point X to next line
$9e6a       ; test for end of program
$9e6c       ; increment line number
$9e6e       ; ?FC ERROR
$9e74       ; ?FC ERROR

$9e77-$9e81 ; * RENUM: test for end of program
$9e7f       ; return 2 levels if at end of program

$9e82-$9ecc ; * RENUM: on 1st call converts the line numbers in each info block
$9e82-$9ecc ; * into line addresses. On 2nd call converts them back into
$9e82-$9ecc ; * line numbers.
$9e82       ; start of BASIC program
$9e88       ; test for end of program
$9e90       ; end of line
$9e95       ; 1st pass - convert line number to address
$9e98       ; 2nd pass - convert address to line number
$9ea3       ; reconstruct line number coded in block
$9eb5       ; search program for line number in <$2b
$9eba       ; line not found - store a 3 for 'UL'
$9ebc       ; address of line
$9ec4       ; becomes a 1 in a moment
$9ec6       ; address of line
$9ec8       ; actual line number
$9ecc       ; store it in info block

$9ece-$9f6a ; * RENUM: prepare line numbers in statements
$9ece-$9f6a ; * (replaces line number digits with 5 byte info block)
$9ece       ; start of BASIC program
$9ed2       ; BASIC source pointer
$9ed6       ; test for end of program
$9edc       ; BASIC source pointer
$9ede       ; get next character from BASIC source
$9ee1       ; end of line
$9ee3       ; non-token
$9ee5       ; BASIC source pointer
$9ee9       ; skip function token
$9eeb       ; PATCH - CLS GET PUT ???
$9eee       ; token THEN
$9ef2       ; token ELSE
$9ef6       ; token GO
$9efa       ; get next character from BASIC source
$9efc       ; token TO
$9f00       ; token SUB
$9f02       ; keep looking for interesting stuff
$9f04       ; get next character from BASIC source
$9f06       ; found digit
$9f08       ; get current character from BASIC source
$9f0c       ; BASIC source pointer
$9f0e       ; start of digits
$9f10       ; read line number & store in $2b
$9f13       ; BASIC source pointer
$9f17       ; set carry if A is non-numeric character
$9f1c       ; end of digits
$9f24       ; exactly 5 digits
$9f26       ; less than 5 digits
$9f2d       ; move program down from U to X
$9f34       ; start of simple variables
$9f3d       ; start of simple variables
$9f3f       ; move memory contents up
$9f44       ; BASIC source pointer
$9f46       ; start of digits
$9f4a       ; replace line number with 5 byte info block
$9f4c       ; line number coded to avoid zeros
$9f4e       ; otherwise world would fall apart
$9f64       ; get current character from BASIC source
$9f68       ; comma - look for another line number

$9f6c-$9fca ; * RENUM: convert line numbers into ASCII again (also flags UL errors)
$9f6c       ; start of BASIC program
$9f74       ; current line number
$9f76       ; test for end of program
$9f7f       ; end of line
$9f82       ; found an info block
$9f8a       ; /UL /
$9f8d       ; print string to DEVN
$9f94       ; print unsigned number in D
$9f97       ; print 'IN xxxx' (current line number)
$9f9a       ; send CR to DEVN
$9fa1       ; adjusted line number
$9fa5       ; assign contents of $52 / $53 to FPA1
$9fa8       ; convert FPA1 to string at $3DA
$9faf       ; write line number into program
$9fbd       ; exactly 5 digits - no problem
$9fc3       ; move program down from U to X
$9fca       ; /UL /

$9fce-$9fd6 ; * MEM continued
$9fce       ; end of BASIC storage
$9fd0       ; numeric / string flag
$9fd4       ; meaningless
$9fd6       ; assign contents of $52 / $53 to FPA1

$9fd9-$9fff ; * unused

$a000-$a00c ; * ($A000 - $BFFF)
$a000-$a00c ; * indirect jump vectors
$a000       ; scan keyboard
$a002       ; output character to DEVN
$a004       ; read leader
$a006       ; read block
$a008       ; write block
$a00a       ; update joysticks
$a00c       ; write leader

$a00e-$a046 ; * HEX$
$a00e       ; read 16 bit number into X from FPA1 (& $52)
$a01b       ; get a nibble into B
$a024       ; digit non-zero
$a029       ; at last digit
$a02e       ; don't store leading zeroes
$a034       ; not A - F
$a041       ; lose return address
$a046       ; register string at X

$a049-$a08b ; * DLOAD
$a049-$a08b ; * There is a logic bug in the serial system. The routines that call
$a049-$a08b ; * the serial I/O drivers expect to see the Z flag set for success. The
$a049-$a08b ; * serial drivers don't change the flags, however. Either re-write the
$a049-$a08b ; * drivers for correct operation or skip the checks by changing BNE to
$a049-$a08b ; * BRN at locations $a13d, $a16e & $a1ab.
$a049       ; close cassette stream & set DEVN to 0
$a04e       ; get current character from BASIC source
$a056       ; get next character from BASIC source
$a058       ; get filename
$a05b       ; get current character from BASIC source
$a05f       ; check comma
$a066       ; get number in B
$a069       ; select baud rate
$a06c       ; ?FC ERROR
$a070       ; send filename & get 1st block
$a077       ; DEVN = -3
$a07d       ; DLOADM
$a07f       ; ensure nothing else on command line
$a082       ; B must not be 0
$a083       ; ?FM ERROR
$a085       ; NEW BASIC
$a088       ; command mode / no device initialise
$a08b       ; ?FM ERROR

$a08e-$a0a7 ; * called by CLOAD to handle CLOADM
$a08e       ; cassette IO status
$a090       ; get next character from BASIC source
$a092       ; get filename
$a095       ; find file & set up buffer
$a098       ; gap flag
$a09b       ; continuous file
$a09f       ; U = file type & ASCII flag
$a0a2       ; DEVN
$a0a4       ; get block from tape

$a0a9-$a0e1 ; * called by DLOAD to handle DLOADM
$a0a9-$a0e1 ; * For both CLOADM & DLOADM, this is now a gapped binary file, with data
$a0a9-$a0e1 ; * being read on a character by character basis. Note that data blocks do
$a0a9-$a0e1 ; * not have to align with physical file blocks; the data is treated as a
$a0a9-$a0e1 ; * continuous stream.
$a0a9-$a0e1 ; * Within the file data itself, the first byte is an end of file marker.
$a0a9-$a0e1 ; * Next 4 bytes are the data length and the load address, followed by the
$a0a9-$a0e1 ; * data. This repeats until the end of file marker is true, whereupon
$a0a9-$a0e1 ; * the final load address encountered becomes the EXEC address. There is
$a0a9-$a0e1 ; * no data in the EOF block.
$a0ac       ; ?FM ERROR
$a0ae       ; zero
$a0b0       ; get current character from BASIC source
$a0b4       ; check comma
$a0b7       ; get 16 bit number into X
$a0ba       ; load offset
$a0bc       ; ensure nothing else on command line
$a0bf       ; read character from DEVN
$a0c3       ; read 2 characters from DEVN into D
$a0c5       ; Y = data length
$a0c7       ; read 2 characters from DEVN into D
$a0cb       ; default EXEC address
$a0cd       ; X = load address (inc. offset)
$a0d1       ; close DEVN stream & set DEVN to 0
$a0d5       ; read character from DEVN
$a0d9       ; checks that we are loading into RAM
$a0db       ; ?IO ERROR

$a0e3-$a0e9 ; * read 2 characters from DEVN into D
$a0e5       ; read character from DEVN

$a0ea-$a0f1 ; * read character from device DEVN
$a0ea-$a0f1 ; * (+cause error if EOF)
$a0ed       ; EOF flag
$a0f1       ; ?IO ERROR

$a0f4-$a103 ; * send filename & get 1st block
$a0f4       ; send filename to serial port
$a0fb       ; zero
$a0fd       ; get block from serial port
$a101       ; ?NE ERROR

$a106-$a112 ; * get block from serial port into IO buffer
$a10c       ; IO buffer
$a10f       ; get serial block & store at X
$a112       ; update IO buffer size / reset header address

$a115-$a147 ; * send filename to serial port
$a11c       ; 5 retries only
$a120       ; clear checksum, write, read & compare
$a124       ; filename
$a129       ; update checksum & write serial
$a12c       ; IO buffer
$a12f       ; filename now sent
$a131       ; send checksum & clear, read & compare #$c8
$a135       ; read serial & update checksum
$a13b       ; read serial & update checksum
$a141       ; read serial, update checksum & load A

$a149-$a156 ; * retry count - cause error if count reaches 5
$a153       ; write serial character
$a156       ; ?IO ERROR

$a159-$a161 ; * clear checksum, write serial, read & compare
$a15b       ; clear checksum, write serial & read

$a163-$a16b ; * send checksum & clear, read & compare #$c8
$a165       ; clear checksum, write serial & read

$a16c-$a172 ; * read serial, update checksum & load A
$a16c       ; read serial & update checksum

$a173-$a17c ; * read serial & update checksum
$a173       ; read serial character

$a17e-$a1b8 ; * get block from serial & store starting at X
$a18b       ; 5 retries only
$a18f       ; clear checksum, write, read & compare
$a195       ; update checksum & write serial
$a199       ; update checksum & write serial
$a19b       ; send checksum & clear, read & compare #$c8
$a19f       ; read serial & update checksum
$a1a9       ; read serial & update checksum
$a1b2       ; read serial, update checksum & load A

$a1ba-$a1be ; * clear checksum, write serial & read
$a1be       ; read serial character

$a1c1-$a1c9 ; * update checksum & write serial
$a1c9       ; write serial character

$a1cc-$a1fc ; * handle ! (PRINT USING 1st character)
$a1d1       ; print a plus sign to DEVN if $DA set
$a1d4       ; get current character from BASIC source
$a1dc       ; get expression
$a1df       ; validate string
$a1e8       ; perform left$ of B chrs on varptr X
$a1eb       ; print string just compiled to DEVN
$a1f9       ; send a space to DEVN

$a1fe-$a223 ; * handle % (PRINT USING string field)
$a21d       ; print a plus sign to DEVN if $DA set
$a220       ; output character to DEVN

$a225-$a363 ; * called by PRINT to handle USING
$a225       ; get expression
$a228       ; validate string
$a22d       ; skip semicolon
$a232       ; varptr of USING string
$a238       ; ?FC ERROR
$a23c       ; comma counter?
$a240       ; USING string has a length
$a242       ; ?FC ERROR
$a245       ; point X to USING string
$a24f       ; print 1st character
$a255       ; numeric field
$a25a       ; print a plus sign to DEVN if $DA set
$a25d       ; output character to DEVN
$a260       ; get current character from BASIC source
$a268       ; send CR to DEVN
$a26d       ; point X to string & length in B
$a274       ; print a plus sign to DEVN if $DA set
$a324       ; get current character from BASIC source
$a335       ; ?FC ERROR
$a33e       ; print string to DEVN
$a343       ; get current character from BASIC source
$a34d       ; check comma
$a352       ; get next character from BASIC source

$a366-$a437 ; * print a plus sign to DEVN if $DA set
$a36e       ; output character to DEVN
$a394       ; FP constant 1000000000
$a397       ; compare FPA1 - varptr X (of same sign)
$a39c       ; convert FPA1 to string at $3da
$a3b7       ; convert FPA1 to sig figs & exponent in $47
$a3cb       ; print number to U (commas & point if reqd)
$a420       ; carry set if A non-numeric

$a438-$a55a ; * carry clear if A is ASCII digit
$a451       ; divide FPA1 by 10
$a48d       ; print number to U (commas & point if reqd)
$a4a1       ; convert FPA1 to sig figs & exponent in $47
$a4c2       ; divide FPA1 by 10
$a4da       ; print number to U (commas & point if reqd)

$a55b-$a58e ; * convert FPA1 to sig figs & exponent in $47
$a566       ; FP constant 1000000000
$a569       ; FPA1 = varptr X * FPA1
$a572       ; divide FPA1 by 10
$a577       ; FP constant 999999999
$a57a       ; compare FPA1 - varptr X (of same sign)
$a57f       ; FP constant 99999999.9
$a582       ; compare FPA1 - varptr X (of same sign)
$a587       ; multiply FPA1 by 10

$a590-$a5e3 ; * print number to U (commas & point if reqd)
$a592       ; add 0.5 to FPA1
$a595       ; denormalize FPA1 to an integer
$a59a       ; powers of 10 table

$a5e4-$a61c ; * store a comma if required

$a61d-$a625 ; * get address of pixel calc routine for current PMODE
$a620       ; current PMODE

$a626-$a628 ; * call relevant pixel calc routine for PMODE

$a62a       ; * JMP table containing pixel calc routines for each PMODE

$a634-$a64e ; * calculate pixel address & mask for 2 colour modes
$a636       ; bytes per line in current graphics mode
$a63b       ; start of current graphics

$a650-$a669 ; * calculate pixel address & mask for 4 colour modes
$a652       ; bytes per line in current graphics mode
$a657       ; start of current graphics

$a66b       ; * pixel mask table for 2 colour modes

$a673       ; * pixel mask table for 4 colour modes

$a677-$a67a ; * move X one line down for all PMODEs
$a677       ; bytes per line in current graphics mode

$a67b-$a681 ; * pixel step routine for 2 colour PMODEs
$a67b-$a681 ; * used by LINE

$a682-$a689 ; * pixel step routine for 4 colour PMODEs
$a682-$a689 ; * used by LINE

$a68a-$a6a7 ; * read coordinates into $bd & $bf
$a68a       ; read pair of numbers into $2b/$2c & B

$a6a8       ; * read coords into $bd & $bf and adjust for PMODE
$a6a8       ; read coordinates into $bd & $bf

$a6ab-$a6c6 ; * adjust standard coords into true pixel coords
$a6ae       ; current PMODE
$a6b4       ; adjust Y for PMODEs 0 & 1
$a6ba       ; current PMODE
$a6c0       ; adjust X for PMODEs 0 to 3

$a6c7-$a6ed ; * PPOINT
$a6c7       ; get coords into $bd / $bf
$a6ca       ; adjust coords for PMODE
$a6cd       ; call relevant pixel calc routine for PMODE
$a6d2       ; current PMODE
$a6e1       ; current colour set
$a6e6       ; assign B to FPA1

$a6ef-$a6f1 ; * PSET

$a6f3-$a702 ; * PRESET
$a6f4       ; PRESET / PSET flag
$a6f6       ; skip open bracket
$a6f9       ; read coords into $bd & $bf and adjust
$a6fc       ; read optional colour
$a6ff       ; skip close bracket
$a702       ; call relevant pixel calc routine for PMODE

$a705-$a71c ; * called by LINE to plot pixel
$a70e       ; byte value of plot colour

$a71d-$a73e ; * reads coordinate pair into $bd / $bf & $c3 / $c5
$a71d-$a73e ; * if first pair is missing then current coords are used
$a725       ; token -
$a731       ; skip open bracket
$a734       ; read pair of numbers into $2b/$2c & B
$a73e       ; skip close bracket

$a740-$a746 ; * read coordinates inside brackets
$a740-$a746 ; * (into $bd & $bf)
$a740       ; skip open bracket
$a743       ; read coordinates into $bd & $bf
$a746       ; skip close bracket

$a749-$a776 ; * LINE
$a749       ; token INPUT
$a74b       ; LINE INPUT
$a753       ; token -
$a759       ; optional @ before coords
$a75c       ; sets up $bd/$bf & $c3/$c5
$a75f       ; with coords
$a767       ; check comma
$a76a       ; token PRESET
$a76e       ; token PSET
$a770       ; ?SN ERROR

$a778-$a794 ; * (A777 5F         CLRB)
$a77a       ; get next character from BASIC source
$a77c       ; adjust coords for PMODE
$a781       ; PRESET / PSET flag
$a783       ; set up current colour
$a786       ; get current character from BASIC source
$a788       ; must be a normal line
$a78c       ; check comma
$a791       ; check for 'B'

$a796-$a7ac ; * draw empty rectangle

$a7ae-$a7b4 ; * adjust line's coords for current PMODE

$a7b7-$a7c0 ; * only 'F' allowed after 'B'

$a7c2-$a7d1 ; * draw a solid rectangle
$a7c2       ; draw horizontal line
$a7cb       ; next Y up or down?

$a7d2-$a7f9 ; * draw horizontal line from left to right
$a7d6       ; calc +ve difference in x ords
$a7dd       ; store lower of two values for calc
$a7e3       ; calc pixel
$a7ea       ; get address of pixel stepper in U
$a7ec       ; store pixel mask
$a7ee       ; plot
$a7f3       ; next pixel

$a7fa       ; * jumped from general line routine

$a7fc-$a816 ; * draw vertical line downwards
$a800       ; +ve difference in Y ords
$a80d       ; call relevant pixel calc routine for PMODE

$a818       ; * table of addresses of pixel step routines according to PMODE

$a822-$a82a ; * get address of pixel step routine according to PMODE
$a825       ; current PMODE

$a82b-$a82e ; * set U up with address of vertical pixel stepper

$a82f-$a892 ; * draw general line
$a82f       ; increment Y ord
$a833       ; +ve difference in Y ords
$a836       ; horizontal line
$a83a       ; draw left to right
$a83c       ; decrement Y ord
$a842       ; increment X ord
$a845       ; +ve difference in X ords
$a848       ; vertical line
$a84a       ; draw top to bottom
$a84c       ; decrement X ord
$a854       ; delta X >= delta Y
$a856       ; get main stepper in U
$a858       ; get larger delta in D
$a85e       ; make initial total 1/2 of large
$a85f       ; delta for equal end segments
$a860       ; large delta was odd
$a866       ; main stepper is in +ve direction
$a868       ; mystery tweak
$a86d       ; get pixel calc in U
$a872       ; plot
$a87b       ; dec counter
$a87d       ; step pixel in main direction
$a882       ; add small delta
$a884       ; to total
$a886       ; subtract larger delta
$a888       ; threshold not reached
$a88c       ; step pixel in lesser direction

$a894-$a89a ; * increment X ord (LINE / PAINT)

$a89b-$a8a1 ; * increment Y ord (LINE)

$a8a2-$a8a8 ; * decrement X ord (LINE / PAINT)

$a8a9-$a8af ; * decrement Y ord (LINE)

$a8b0-$a8bd ; * sets up $d3 / $d5 with max coords adjusted for PMODE

$a8c0-$a8d2 ; * PCLS
$a8c7       ; start of current graphics
$a8cb       ; 1st byte after current graphics
$a8d0       ; current background colour

$a8d4-$a8e7 ; * COLOR
$a8da       ; current foreground colour
$a8dc       ; get current character from BASIC source
$a8e0       ; check comma
$a8e5       ; current background colour

$a8e8-$a90d ; * read number and interpret as colour
$a8e8-$a90d ; * (returns 0 - 3)
$a8e8       ; get number in B
$a8ed       ; ?FC ERROR
$a8fc       ; current PMODE

$a90f-$a926 ; * read optional colour & set up $b5 accordingly
$a90f       ; set up colours
$a912       ; get current character from BASIC source
$a91a       ; check comma
$a926       ; get current character from BASIC source

$a928-$a937 ; * stores either foreground or background colour
$a928-$a937 ; * as current depending on plot flag $c2
$a928       ; current foreground colour
$a92a       ; PRESET / PSET flag
$a92e       ; current background colour
$a930       ; plot colour
$a935       ; byte value of plot colour

$a938       ; * called by SCREEN: sets up text or graphics according to Z

$a93a-$a95b ; * reset VDU

$a95d-$a987 ; * set up graphics display
$a95f       ; current PMODE
$a968       ; current colour set
$a976       ; start of current graphics
$a979       ; set up SAM VDG base
$a97c       ; current PMODE
$a985       ; set up SAM VDG mem mode

$a989-$a99c ; * set up SAM VDG mode

$a99d-$a9a2 ; * set up VDG offset

$a9a4-$a9ae ; * select VDG colour set
$a9a9       ; current colour set

$a9af-$a9fb ; * PMODE
$a9b3       ; get number in B
$a9b8       ; ?FC ERROR
$a9ba       ; MSB of start of graphics page 1
$a9bc       ; start of current graphics
$a9bf       ; PMODE setup table + 1
$a9c4       ; start of BASIC program
$a9c6       ; ?FC ERROR
$a9c8       ; 1st byte after current graphics
$a9ce       ; bytes per line in current graphics mode
$a9d1       ; current PMODE
$a9d4       ; current background colour
$a9d8       ; current foreground colour
$a9da       ; get current character from BASIC source
$a9dc       ; RTS
$a9de       ; skip comma & get number in B
$a9e2       ; ?FC ERROR
$a9e8       ; MSB of start of graphics page 1
$a9ec       ; 1st byte after current graphics
$a9ee       ; start of current graphics
$a9f0       ; start of BASIC program
$a9f2       ; ?FC ERROR
$a9f4       ; 1st byte after current graphics
$a9f8       ; start of current graphics
$a9fb       ; ?FC ERROR

$a9fe-$aa17 ; * SCREEN
$aa02       ; get number in B
$aa09       ; get current character from BASIC source
$aa0d       ; skip comma & get number in B
$aa15       ; current colour set

$aa19-$aa7f ; * PCLEAR
$aa19       ; get number in B
$aa1d       ; ?FC ERROR
$aa21       ; ?FC ERROR
$aa26       ; MSB of start of graphics page 1
$aa2e       ; 1st byte after current graphics
$aa31       ; ?FC ERROR
$aa35       ; start of BASIC program
$aa37       ; start of simple variables
$aa3e       ; stack root / string storage start
$aa40       ; ?FC ERROR
$aa42       ; current line number
$aa49       ; start of BASIC program
$aa4b       ; BASIC source pointer
$aa4f       ; start of simple variables
$aa5c       ; start of BASIC program
$aa61       ; start of BASIC program
$aa66       ; set up next line pointers in BASIC program
$aa69       ; clear variables & reset stack
$aa6c       ; interpreter loop
$aa6f       ; start of BASIC program
$aa7a       ; start of simple variables

$aa81-$aa9e ; * called by reset routine to PCLEAR 4
$aa83       ; start of BASIC program
$aa87       ; MSB of start of graphics page 1
$aa89       ; start of current graphics
$aa8c       ; current PMODE
$aa90       ; bytes per line in current graphics mode
$aa94       ; current foreground colour
$aa98       ; 1st byte after current graphics
$aa9a       ; start of BASIC program
$aa9e       ; NEW BASIC

$aaa1       ; * PMODE setup table: bytes/line + MSB of display size

$aaab-$aab6 ; * calc +ve difference in Y ords
$aab3       ;  D = -D

$aab8-$aabc ; * calc +ve difference in X ords

